5711219.jpg, asian, 13.280958728847429, indian, 0.3483998564049516, black, 0.07327018975214301, white, 70.83375876151078, middle eastern, 6.609655565598938, dominant race, white, 
511320836.jpg, asian, 5.457791313529015, indian, 2.5316279381513596, black, 0.39922627620399, white, 58.55623483657837, middle eastern, 15.928183495998383, dominant race, white, 
36915176.jpg, asian, 5.207193953227637, indian, 8.555929127688952, black, 2.2133187778782117, white, 32.54008785129117, middle eastern, 28.59739533647271, dominant race, white, 
506643052.jpg, asian, 58.738428354263306, indian, 7.702192664146423, black, 2.0869599655270576, white, 9.82939675450325, middle eastern, 2.9112646356225014, dominant race, asian, 
36818078.jpg, asian, 4.1309519403038095, indian, 0.4720994174212912, black, 0.038227815629765016, white, 81.70249680250922, middle eastern, 6.940189666725437, dominant race, white, 
4003392.jpg, asian, 0.002106260706601371, indian, 0.00018209739158367907, black, 1.4386212190802145e-06, white, 99.48555824074496, middle eastern, 0.1870344504436523, dominant race, white, 
503216642.jpg, asian, 1.2225737089366362e-07, indian, 2.165177481749936e-08, black, 1.7881070159698337e-11, white, 99.9912977218628, middle eastern, 0.002122982550645247, dominant race, white, 
193112293.jpg, asian, 8.689109008855164, indian, 0.10384487141489217, black, 0.01773481013721586, white, 82.28009833574882, middle eastern, 2.89881879978292, dominant race, white, 
555059752.jpg, asian, 7.22774980829655, indian, 19.27920098776823, black, 2.997187144886681, white, 17.4885372810684, middle eastern, 16.969817398179615, dominant race, latino hispanic, 
567915178.jpg, asian, 3.7063898865216904, indian, 2.6000039339067897, black, 0.08237676138255068, white, 37.82996760785387, middle eastern, 43.89162325213094, dominant race, middle eastern, 
550307999.jpg, asian, 3.6063995212316513, indian, 6.932924687862396, black, 2.2227197885513306, white, 33.078375458717346, middle eastern, 22.362135350704193, dominant race, white, 
222402018.jpg, asian, 4.579194063448198, indian, 11.374731972781655, black, 1.9466201301360286, white, 43.782176826259715, middle eastern, 22.385021732452124, dominant race, white, 
13611449.jpg, asian, 0.04130741379936322, indian, 0.0018948695939212962, black, 6.744873721514442e-06, white, 96.13311932884224, middle eastern, 3.4799024039623254, dominant race, white, 
546565209.jpg, asian, 31.479480862617493, indian, 21.583537757396698, black, 7.765177637338638, white, 10.731705278158188, middle eastern, 6.829457730054855, dominant race, asian, 
601070.jpg, asian, 0.02251633839080637, indian, 1.2456519340367278, black, 0.022002699408375438, white, 25.448058572295817, middle eastern, 67.8210358513019, dominant race, middle eastern, 
10100913.jpg, asian, 31.245379522167415, indian, 1.129268735901638, black, 1.2619975775180803, white, 52.51437738623484, middle eastern, 6.019401909077281, dominant race, white, 
567338728.jpg, asian, 1.6322260876222572e-05, indian, 1.2353508438422978e-06, black, 2.922644765090965e-09, white, 99.97158646583557, middle eastern, 0.006466664490289986, dominant race, white, 
17500761.jpg, asian, 0.0004871840246778447, indian, 0.04224715230520815, black, 0.00016927996284721303, white, 84.95680689811707, middle eastern, 7.725389301776886, dominant race, white, 
509967998.jpg, asian, 0.040803838055580854, indian, 0.1379290479235351, black, 0.0034466102079022676, white, 72.98019528388977, middle eastern, 14.93297964334488, dominant race, white, 
534752814.jpg, asian, 1.3192099519073963, indian, 2.2593487054109573, black, 0.26657492853701115, white, 60.665953159332275, middle eastern, 20.047108829021454, dominant race, white, 
544510106.jpg, asian, 99.1919040198269, indian, 0.11596729273154097, black, 0.001060309359207562, white, 0.03393182616833306, middle eastern, 0.00030243897510503364, dominant race, asian, 
526830911.jpg, asian, 2.8744233659949714e-07, indian, 1.7521609052550957e-06, black, 1.3449064084625206e-08, white, 99.84524250030518, middle eastern, 0.07086393306963146, dominant race, white, 
554326732.jpg, asian, 3.8238926888832223, indian, 0.1355802595109928, black, 0.007166297892307741, white, 90.58783166553597, middle eastern, 2.3956508313833678, dominant race, white, 
339500463.jpg, asian, 96.50781750679016, indian, 0.8069871924817562, black, 0.04882843350060284, white, 0.38475808687508106, middle eastern, 0.04541303787846118, dominant race, asian, 
562272292.jpg, asian, 1.1126271449029446, indian, 4.78622168302536, black, 1.4155939221382141, white, 40.22103250026703, middle eastern, 22.533738613128662, dominant race, white, 
558549902.jpg, asian, 0.8927447322156866, indian, 25.97896313541908, black, 0.7499495036869945, white, 15.72422925974305, middle eastern, 45.14883429699149, dominant race, middle eastern, 
518836663.jpg, asian, 4.85599972307682, indian, 25.270357728004456, black, 6.126110628247261, white, 2.0908063277602196, middle eastern, 0.9079619310796261, dominant race, latino hispanic, 
544261823.jpg, asian, 0.004841695772483945, indian, 0.0015446355973836035, black, 4.578760410822724e-05, white, 98.4221339225769, middle eastern, 0.634987885132432, dominant race, white, 
500980401.jpg, asian, 8.674340467115668, indian, 7.9949763712272865, black, 1.5978115631825665, white, 31.3367534480544, middle eastern, 22.573596094465024, dominant race, white, 
1635.jpg, asian, 0.00206894565053517, indian, 0.014468198060058057, black, 0.00010186766985498252, white, 91.63856506347656, middle eastern, 3.471095487475395, dominant race, white, 
9129190.jpg, asian, 3.8320261985063553, indian, 12.505801022052765, black, 3.652156889438629, white, 21.734069287776947, middle eastern, 37.7456933259964, dominant race, middle eastern, 
511336194.jpg, asian, 100.0, indian, 3.8974482278672506e-11, black, 6.523944126293984e-16, white, 1.1648028028221624e-09, middle eastern, 7.025710148789364e-15, dominant race, asian, 
552024429.jpg, asian, 0.9640551172196865, indian, 0.5554096307605505, black, 0.12639346532523632, white, 67.78225898742676, middle eastern, 13.220427930355072, dominant race, white, 
527538803.jpg, asian, 0.0013412512998911552, indian, 0.19485290395095944, black, 0.0010963157365040388, white, 83.33442211151123, middle eastern, 13.69626522064209, dominant race, white, 
515049327.jpg, asian, 2.8001882135868073, indian, 5.850917473435402, black, 1.3735635206103325, white, 41.282105445861816, middle eastern, 25.307205319404602, dominant race, white, 
543202011.jpg, asian, 4.971539381558969, indian, 1.1239197627997681, black, 0.22087150414329718, white, 80.51423662731212, middle eastern, 6.333197643375677, dominant race, white, 
509993220.jpg, asian, 4.171682521700859, indian, 5.004686117172241, black, 1.373062375932932, white, 36.18426024913788, middle eastern, 19.703489542007446, dominant race, white, 
11613071.jpg, asian, 2.4633022025227547, indian, 4.723034054040909, black, 3.7639442831277847, white, 49.577462673187256, middle eastern, 21.481315791606903, dominant race, white, 
116300497.jpg, asian, 0.5917683243751526, indian, 29.520273208618164, black, 0.7389996666461229, white, 15.778759121894836, middle eastern, 27.0638644695282, dominant race, indian, 
512010854.jpg, asian, 25.083011398674415, indian, 13.835914592255902, black, 31.71832045535093, white, 7.869633480266748, middle eastern, 6.629452154571075, dominant race, black, 
54302751.jpg, asian, 8.635316498295465e-06, indian, 0.0005520055562078848, black, 99.99749660521786, white, 0.00020785428001192832, middle eastern, 0.0001485039825049953, dominant race, black, 
515973008.jpg, asian, 18.904902040958405, indian, 3.668864443898201, black, 4.142255336046219, white, 40.41358828544617, middle eastern, 11.288926750421524, dominant race, white, 
3904697.jpg, asian, 0.16929050597286296, indian, 0.5275478284117971, black, 0.021551812483120707, white, 64.15755321473517, middle eastern, 12.315442391090679, dominant race, white, 
535785606.jpg, asian, 10.482977330684662, indian, 1.2986572459340096, black, 0.258093886077404, white, 61.124974489212036, middle eastern, 9.685882925987244, dominant race, white, 
508971587.jpg, asian, 44.466010395764066, indian, 5.9165005038380025, black, 20.40947581416657, white, 11.061076991429687, middle eastern, 3.111888283564057, dominant race, asian, 
510319798.jpg, asian, 4.135188706826491, indian, 5.6981578140352855, black, 1.1462402281904356, white, 43.47213467789499, middle eastern, 25.1490369527958, dominant race, white, 
540205178.jpg, asian, 1.510212104767561, indian, 2.1037662401795387, black, 0.24562443140894175, white, 54.33347821235657, middle eastern, 25.703370571136475, dominant race, white, 
521935015.jpg, asian, 2.286216989159584, indian, 1.1139257811009884, black, 0.24310324806720018, white, 71.50710225105286, middle eastern, 12.33242079615593, dominant race, white, 
20513730.jpg, asian, 38.93254333332439, indian, 10.56237060203377, black, 5.613402611816085, white, 14.737827464212623, middle eastern, 7.288994329511781, dominant race, asian, 
546217392.jpg, asian, 39.58631157875061, indian, 8.185826987028122, black, 3.22904996573925, white, 18.99391859769821, middle eastern, 9.698951989412308, dominant race, asian, 
512412142.jpg, asian, 0.011805981921497732, indian, 0.6180119700729847, black, 0.006094982381910086, white, 47.873204946517944, middle eastern, 43.79075765609741, dominant race, white, 
